"ocid","release_id","id","title","description","status","date","amount","currency","correctedValue_amount","correctedValue_currency","enteredValue_amount","enteredValue_currency","contractPeriod_startDate","contractPeriod_endDate","contractPeriod_maxExtentDate","contractPeriod_durationInDays"
"ocds-5wno2w-REAJ-CBBF-001-2023-166651","REAJ-CBBF-001-2023-166651-2023-08-22T19:29:19.164Z-compiled","6222351-REAJ-CBBF-001-2023","","Adjudicar al Abg. Luis Felipe Armijos Lániz, cédula de ciudadanía N 1205272816 y RUC: 1205272816001, el contrato dentro del proceso de Régimen Especial N REAJ-CBBF-01-2023, para contratar la prestación de los SERVICIOS PROFESIONALES DE UN ABOGADO PARA LA ASESORÍA Y PATROCINIO JURÍDICO DEL CUERPO DE BOMBEROS DEL CANTÓN BUENA FE, por cumplir con lo solicitado en los Pliegos de contratación.","","2023-03-08T15:16:26-05:00","16000.00","USD","","","","","2023-03-09T00:00:00-05:00","2023-11-04T00:00:00-05:00","","240"
"ocds-5wno2w-RE-APG-001-2023-2499","RE-APG-001-2023-2499-2023-08-22T19:27:03.571Z-compiled","6214921-RE-APG-001-2023","","Por cumplir con la integridad de la oferta y los requisitos mínimos establecidos en el pliego y términos de referencia","","2023-03-06T15:53:32-05:00","20000.00","USD","","","","","2023-03-14T00:00:00-05:00","2023-11-19T00:00:00-05:00","","250"
"ocds-5wno2w-REAJ-CBCB-001-2023-498171","REAJ-CBCB-001-2023-498171-2023-02-01T10:32:22.753Z-compiled","6194388-REAJ-CBCB-001-2023","","NINGUNA","","2023-01-27T14:42:50-05:00","16500.00","USD","","","","","","","",""
"ocds-5wno2w-RE-APJ-BCBG-04-2023-2528","RE-APJ-BCBG-04-2023-2528-2023-08-22T19:10:50.566Z","6289124-RE-APJ-BCBG-04-2023","","por cumplir con la integridad de la oferta, requisitos mínimos y parámetros de evaluación determinados en el pliego del proceso","","2023-04-11T14:13:40-05:00","30000.00","USD","","","","","2023-04-28T00:00:00-05:00","2023-07-27T00:00:00-05:00","","90"
"ocds-5wno2w-RE-APJ-EMOVEP-1-2023-315805","RE-APJ-EMOVEP-1-2023-315805-2023-08-22T19:28:33.060Z-compiled","6221590-RE-APJ-EMOVEP-1-2023","","Por cumplir con todos los requisitos solicitados en los pliegos y ser la oferta más conveniente a los intereses institucionales de la entidad contratante, a más de cumplir con lo dispuesto en el artículo 6 de la LOSNCP.","","2023-03-21T16:34:08-05:00","23950.00","USD","","","","","2023-03-27T00:00:00-05:00","2024-02-24T00:00:00-05:00","","334"
"ocds-5wno2w-RREAPJ-CFNGYE-1-2023-2469","RREAPJ-CFNGYE-1-2023-2469-2023-08-22T19:45:25.346Z","6245549-RREAPJ-CFNGYE-1-2023","","POR CUMPLIR CON LOS REQUISITOS ESTABLECIDOS EN EL PLIEGO Y POR SER CONVENIENTE A LOS INTERESES INSTITUCIONALES","","2023-03-22T15:31:30-05:00","150000.00","USD","","","","","2023-03-31T00:00:00-05:00","2024-03-30T00:00:00-05:00","","365"
"ocds-5wno2w-RE-APJ-EPA-002-2023-555086","RE-APJ-EPA-002-2023-555086-2023-08-22T20:04:24.243Z","6310945-RE-APJ-EPA-002-2023","","Por haber cumplido con todos los requisitos mínimos, de acuerdo a la metodología establecida en los términos de referencia, pliegos y de la oferta recibida. Asimismo, por ser conveniente para los intereses institucionales.","","2023-04-18T13:11:21-05:00","817732.00","USD","","","","","2023-04-28T00:00:00-05:00","2023-11-24T00:00:00-05:00","","210"
"ocds-5wno2w-RE-APJ-EPMMQ-01-2023-410205","RE-APJ-EPMMQ-01-2023-410205-2023-08-23T02:29:15.315Z","6331527-RE-APJ-EPMMQ-01-2023","","cumple con los requerimientos","","2023-04-27T11:31:53-05:00","32500.00","USD","","","","","2023-05-05T00:00:00-05:00","2023-06-19T00:00:00-05:00","","45"
"ocds-5wno2w-GADPRA-001-AJ-2023-94956","GADPRA-001-AJ-2023-94956-2023-08-23T04:28:51.054Z","6569489-GADPRA-001-AJ-2023","","CUMPLE LAS ESPECIFICACIONES","","2023-07-28T19:15:49-05:00","7222.20","USD","","","","","","","",""
"ocds-5wno2w-RE-APJC-GADMA-01-23-2422","RE-APJC-GADMA-01-23-2422-2023-08-23T03:20:04.218Z","6492097-RE-APJC-GADMA-01-23","","El oferente cumple con todos los requisitos de este proceso","","2023-06-29T15:55:57-05:00","6600.00","USD","","","","","2023-07-05T00:00:00-05:00","2023-10-03T00:00:00-05:00","","90"
