"ocid","id","rationale","budget_id","budget_description","budget_amount","budget_currency"
"ocds-5wno2w-REAJ-CBBF-001-2023-166651","REAJ-CBBF-001-2023-166651-2023-08-22T19:29:19.164Z-compiled","Esta contratación tiene por objeto proveer al Cuerpo de Bomberos del Cantón Buena Fe de los SERVICIOS PROFESIONALES DE UN ABOGADO PARA LA ASESORÍA Y PATROCINIO JURÍDICO.","5.3.06.01","","16000.00","USD"
"ocds-5wno2w-RE-APG-001-2023-2499","RE-APG-001-2023-2499-2023-08-22T19:27:03.571Z-compiled","SERVICIO DE PATROCINIO JURÍDICO PARA LA DEFENSA TÉCNICA EN EL JUICIO PRESENTADO POR LA COMPAÑÍA ZOFRAGUA EN CONTRA DE LA AUTORIDAD PORTUARIA DE GUAYAQUIL","2023.101.0000.0000.01.00.000.001.000.0901.530601.000000.002.0000.0000-","","20000.00","USD"
"ocds-5wno2w-REAJ-CBCB-001-2023-498171","REAJ-CBCB-001-2023-498171-2023-02-01T10:32:22.753Z-compiled","CONTRATACIÓN DE SERVICIOS PROFESIONALES DE UN ABOGADO PARA LA ASESORÍA Y PATROCINIO JURÍDICO PARA EL CUERPO DE BOMBEROS DEL CANTÓN BABA","530601","","16500.00","USD"
"ocds-5wno2w-RE-APJ-BCBG-04-2023-2528","RE-APJ-BCBG-04-2023-2528-2023-08-22T19:10:50.566Z","CONTRATACIÓN DE ASESORÍA JURÍDICA RESPECTO DEL PROCESO DE ADECUACIÓN DE LA ESTRUCTURA INSTITUCIONAL Y FUNCIONAMIENTO DEL BENEMÉRITO CUERPO DE BOMBEROS DE GUAYAQUIL EN RELACIÓN A LA NORMATIVA VIGENTE DEL VOLUNTARIADO ASÍ COMO ASESORÍA JURÍDICA RESPEC","5.3.06.01","","30000.00","USD"
"ocds-5wno2w-RE-APJ-EMOVEP-1-2023-315805","RE-APJ-EMOVEP-1-2023-315805-2023-08-22T19:28:33.060Z-compiled","CONTRATACIÓN DE SERVICIOS DE PATROCINIO JURÍDICO ASESOR EXTERNO DE ATAQUE RESISTENCIA","A100.04.01.00.730606.000.2","","23950.00","USD"
"ocds-5wno2w-RREAPJ-CFNGYE-1-2023-2469","RREAPJ-CFNGYE-1-2023-2469-2023-08-22T19:45:25.346Z","PATROCINIO JURÍDICO PARALA DEFENSA TÉCNICA DE LA CORPORACIÓN FINANCIERA NACIONAL B.P. POR LOSPROCESOS INCOADOS POR LA COMPAÑÍA DINASER DINAMIA EN SERVICIO CÍA. LTDA.","45039004","","150000.00","USD"
"ocds-5wno2w-RE-APJ-EPA-002-2023-555086","RE-APJ-EPA-002-2023-555086-2023-08-22T20:04:24.243Z","ASESORÍA Y PATROCINIO JURÍDICO PARA LA DEFENSA DE LA EMPRESA PÚBLICA DEL AGUA EPA EP, RESPECTO DE LA RECLAMACIÓN POR EL COBRO EXCESIVO DE VALORES CORRESPONDIENTES A LA TASA DE RECOLECCIÓN DE BASURA DETERMINADA POR LA M.I. MUNICIPALIDAD DE GUAYAQUIL","530606","","817732.00","USD"
"ocds-5wno2w-RE-APJ-EPMMQ-01-2023-410205","RE-APJ-EPMMQ-01-2023-410205-2023-08-23T02:29:15.315Z","ASESORÍA JURÍDICA RESPECTO DE LAS CONTROVERSIAS DERIVADAS DEL CONVENIO PARA LA EJECUCIÓN DE LA PLMQ, FASE 2 TIPO FIDIC QUE FUERON RESUELTAS POR LA COMISIÓN PARA RESOLUCIÓN DE CONTROVERSIAS DISPUTE BOARD ANÁLISIS DE PERTINENCIA LEGAL Y ECONÓMICA","730601","","32500.00","USD"
"ocds-5wno2w-GADPRA-001-AJ-2023-94956","GADPRA-001-AJ-2023-94956-2023-08-23T04:28:51.054Z","ASESORÍA JURÍDICA PARA EL GAD DE AMAGUAÑA 2023","71.05.10","","7222.20","USD"
"ocds-5wno2w-RE-APJC-GADMA-01-23-2422","RE-APJC-GADMA-01-23-2422-2023-08-23T03:20:04.218Z","ASESORÍA O PATROCINIO JURÍDICO ESPECIALIZADO EXTERNO TANTO PARA CONSULTORÍA COMO PARA LITIGIOS EN DIVERSOS PROCESOS EN LOS QUE EL GAD MUNICIPAL DE AZOGUES O SUS DEPENDENCIAS REQUIERAN LOS MISMOS.","7.3.1.1.01.06.06.001","","6600.00","USD"
