"ocid","id","initiationType","buyer_id","buyer_name","language","date","tag"
"ocds-5wno2w-REAJ-CBBF-001-2023-166651","REAJ-CBBF-001-2023-166651-2023-08-22T19:29:19.164Z-compiled","tender","EC-RUC-1260018350001-166651","CUERPO DE BOMBEROS DEL CANTON BUENA FE","es","2023-08-22T17:02:00-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-APG-001-2023-2499","RE-APG-001-2023-2499-2023-08-22T19:27:03.571Z-compiled","tender","EC-RUC-0968511110001-2499","AUTORIDAD PORTUARIA DE GUAYAQUIL","es","2023-08-22T17:02:01-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-REAJ-CBCB-001-2023-498171","REAJ-CBCB-001-2023-498171-2023-02-01T10:32:22.753Z-compiled","tender","EC-RUC-1260024160001-498171","CUERPO DE BOMBEROS DE BABA","es","2023-02-01T05:32:45-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-APJ-BCBG-04-2023-2528","RE-APJ-BCBG-04-2023-2528-2023-08-22T19:10:50.566Z","tender","EC-RUC-0968514210001-2528","BENEMERITO CUERPO DE BOMBEROS DE GUAYAQUIL  ","es","2023-03-27T00:00:00-05:00","[""planning"",""tender"",""award"",""contract"",""implementation""]"
"ocds-5wno2w-RE-APJ-EMOVEP-1-2023-315805","RE-APJ-EMOVEP-1-2023-315805-2023-08-22T19:28:33.060Z-compiled","tender","EC-RUC-0160049360001-315805","EMPRESA PUBLICA DE MOVILIDAD TRANSITO Y TRANSPORTE DE CUENCA","es","2023-08-22T17:02:02-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RREAPJ-CFNGYE-1-2023-2469","RREAPJ-CFNGYE-1-2023-2469-2023-08-22T19:45:25.346Z","tender","EC-RUC-1760003090001-2469","CORPORACION FINANCIERA NACIONAL B.P.","es","2023-03-13T00:00:00-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-APJ-EPA-002-2023-555086","RE-APJ-EPA-002-2023-555086-2023-08-22T20:04:24.243Z","tender","EC-RUC-1768178600001-555086","Empresa Publica del Agua EPA EP","es","2023-03-28T00:00:00-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-APJ-EPMMQ-01-2023-410205","RE-APJ-EPMMQ-01-2023-410205-2023-08-23T02:29:15.315Z","tender","EC-RUC-1768164650001-410205","EMPRESA PÚBLICA METROPOLITANA METRO DE QUITO","es","2023-04-04T00:00:00-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-GADPRA-001-AJ-2023-94956","GADPRA-001-AJ-2023-94956-2023-08-23T04:28:51.054Z","tender","EC-RUC-1768119350001-94956","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE AMAGUAÑA","es","2023-07-27T00:00:00-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-RE-APJC-GADMA-01-23-2422","RE-APJC-GADMA-01-23-2422-2023-08-23T03:20:04.218Z","tender","EC-RUC-0360000230001-2422","GAD MUNICIPAL DE AZOGUES","es","2023-06-19T00:00:00-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-CBVA-2023-001-84942","RE-CBVA-2023-001-84942-2023-08-23T03:11:36.536Z","tender","EC-RUC-0360016150001-84942","Cuerpo de Bomberos de Azogues","es","2023-06-05T00:00:00-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-EPAPAP-001-2023-362095","RE-EPAPAP-001-2023-362095-2023-08-23T02:32:03.636Z","tender","EC-RUC-0560033550001-362095","Empresa Publica de Agua Potable y Alcantarillado de Pujili","es","2023-04-11T00:00:00-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-EPUPSE-001-2023-444379","RE-EPUPSE-001-2023-444379-2023-08-23T03:58:49.585Z","tender","EC-RUC-2460002390001-444379","EMPRESA PUBLICA DE OBRAS, BIENES Y SERVICIOS SANTA ELENA EP","es","2023-05-10T00:00:00-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-RMPT-PJ-001-2023-441952","RMPT-PJ-001-2023-441952-2023-08-23T03:46:09.463Z","tender","EC-RUC-0460033650001-441952","REGISTRO MUNICIPAL DE LA PROPIEDAD DEL CANTON TULCAN","es","2023-03-31T00:00:00-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-FONAG-RE-002-2023-227909","FONAG-RE-002-2023-227909-2023-08-23T03:56:51.027Z","tender","EC-RUC-1791722205001-227909","FIDEICOMISO MERCANTIL FONDO AMBIENTAL PARA LA PROTECCION DE LAS CUENCAS  Y AGUA - FONAG","es","2023-05-04T00:00:00-05:00","[""planning"",""tender"",""award""]"
