"ocid","release_id","id","title","description","status","procuringEntity_id","procuringEntity_name","value_amount","value_currency","procurementMethod","procurementMethodDetails","mainProcurementCategory","awardCriteria","tenderPeriod_startDate","tenderPeriod_endDate","tenderPeriod_maxExtentDate","tenderPeriod_durationInDays","enquiryPeriod_startDate","enquiryPeriod_endDate","enquiryPeriod_maxExtentDate","enquiryPeriod_durationInDays","hasEnquiries","eligibilityCriteria","awardPeriod_startDate","awardPeriod_endDate","awardPeriod_maxExtentDate","awardPeriod_durationInDays","numberOfTenderers"
"ocds-5wno2w-REAJ-CBBF-001-2023-166651","REAJ-CBBF-001-2023-166651-2023-08-22T19:29:19.164Z-compiled","REAJ-CBBF-001-2023-166651","REAJ-CBBF-001-2023-166651","Esta contratación tiene por objeto proveer al Cuerpo de Bomberos del Cantón Buena Fe de los SERVICIOS PROFESIONALES DE UN ABOGADO PARA LA ASESORÍA Y PATROCINIO JURÍDICO.","complete","EC-RUC-1260018350001-166651","CUERPO DE BOMBEROS DEL CANTON BUENA FE","16000.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-02-28T14:30:00-05:00","2023-03-07T14:00:00-05:00","2023-03-07T14:00:00-05:00","6","2023-02-28T14:30:00-05:00","","","","","Experiencia,Cumplimiento Especificaciones,Experiencia General","","2023-03-08T15:00:00-05:00","2023-03-08T15:00:00-05:00","","1"
"ocds-5wno2w-RE-APG-001-2023-2499","RE-APG-001-2023-2499-2023-08-22T19:27:03.571Z-compiled","RE-APG-001-2023-2499","RE-APG-001-2023-2499","SERVICIO DE PATROCINIO JURÍDICO PARA LA DEFENSA TÉCNICA EN EL JUICIO PRESENTADO POR LA COMPAÑÍA ZOFRAGUA EN CONTRA DE LA AUTORIDAD PORTUARIA DE GUAYAQUIL","active","EC-RUC-0968511110001-2499","AUTORIDAD PORTUARIA DE GUAYAQUIL","20000.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-02-24T11:00:00-05:00","2023-02-28T11:00:00-05:00","2023-02-28T11:00:00-05:00","4","2023-02-24T11:00:00-05:00","","","","","Otros Parámetros de Calificación,Experiencia Personal Técnico","","2023-03-06T16:30:00-05:00","2023-03-06T16:30:00-05:00","","1"
"ocds-5wno2w-REAJ-CBCB-001-2023-498171","REAJ-CBCB-001-2023-498171-2023-02-01T10:32:22.753Z-compiled","REAJ-CBCB-001-2023-498171","REAJ-CBCB-001-2023-498171","CONTRATACIÓN DE SERVICIOS PROFESIONALES DE UN ABOGADO PARA LA ASESORÍA Y PATROCINIO JURÍDICO PARA EL CUERPO DE BOMBEROS DEL CANTÓN BABA","complete","EC-RUC-1260024160001-498171","CUERPO DE BOMBEROS DE BABA","16500.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-01-23T17:00:00-05:00","2023-01-26T16:00:00-05:00","2023-01-26T16:00:00-05:00","2","2023-01-23T17:00:00-05:00","","","","","Otros Parámetros de Calificación,Personal Técnico,Experiencia Personal Técnico","","2023-01-27T13:00:00-05:00","2023-01-27T13:00:00-05:00","","1"
"ocds-5wno2w-RE-APJ-BCBG-04-2023-2528","RE-APJ-BCBG-04-2023-2528-2023-08-22T19:10:50.566Z","RE-APJ-BCBG-04-2023-2528","RE-APJ-BCBG-04-2023-2528","CONTRATACIÓN DE ASESORÍA JURÍDICA RESPECTO DEL PROCESO DE ADECUACIÓN DE LA ESTRUCTURA INSTITUCIONAL Y FUNCIONAMIENTO DEL BENEMÉRITO CUERPO DE BOMBEROS DE GUAYAQUIL EN RELACIÓN A LA NORMATIVA VIGENTE DEL VOLUNTARIADO ASÍ COMO ASESORÍA JURÍDICA RESPEC","complete","EC-RUC-0968514210001-2528","BENEMERITO CUERPO DE BOMBEROS DE GUAYAQUIL  ","30000.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-03-27T16:30:00-05:00","2023-03-30T14:00:00-05:00","2023-03-30T14:00:00-05:00","2","2023-03-27T16:30:00-05:00","","","","","Ponderación Variable Producción Nacional Otros,Otros Parámetros de Calificación,Experiencia Específica","","2023-04-13T17:00:00-05:00","2023-04-13T17:00:00-05:00","","1"
"ocds-5wno2w-RE-APJ-EMOVEP-1-2023-315805","RE-APJ-EMOVEP-1-2023-315805-2023-08-22T19:28:33.060Z-compiled","RE-APJ-EMOVEP-1-2023-315805","RE-APJ-EMOVEP-1-2023-315805","CONTRATACIÓN DE SERVICIOS DE PATROCINIO JURÍDICO ASESOR EXTERNO DE ATAQUE RESISTENCIA","complete","EC-RUC-0160049360001-315805","EMPRESA PUBLICA DE MOVILIDAD TRANSITO Y TRANSPORTE DE CUENCA","23950.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-02-27T17:00:00-05:00","2023-03-03T15:30:00-05:00","2023-03-03T15:30:00-05:00","3","2023-02-27T17:00:00-05:00","","","","","Personal Técnico,Experiencia General,Experiencia Específica,Experiencia Personal Técnico","","2023-03-10T17:00:00-05:00","2023-03-10T17:00:00-05:00","","1"
"ocds-5wno2w-RREAPJ-CFNGYE-1-2023-2469","RREAPJ-CFNGYE-1-2023-2469-2023-08-22T19:45:25.346Z","RREAPJ-CFNGYE-1-2023-2469","RREAPJ-CFNGYE-1-2023-2469","PATROCINIO JURÍDICO PARALA DEFENSA TÉCNICA DE LA CORPORACIÓN FINANCIERA NACIONAL B.P. POR LOSPROCESOS INCOADOS POR LA COMPAÑÍA DINASER DINAMIA EN SERVICIO CÍA. LTDA.","complete","EC-RUC-1760003090001-2469","CORPORACION FINANCIERA NACIONAL B.P.","150000.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-03-13T18:00:00-05:00","2023-03-15T15:00:00-05:00","2023-03-15T15:00:00-05:00","1","2023-03-13T18:00:00-05:00","","","","","Ponderación Variable Producción Nacional Otros,Otros Parámetros de Calificación,Experiencia Personal Técnico","","2023-03-21T17:00:00-05:00","2023-03-21T17:00:00-05:00","","1"
"ocds-5wno2w-RE-APJ-EPA-002-2023-555086","RE-APJ-EPA-002-2023-555086-2023-08-22T20:04:24.243Z","RE-APJ-EPA-002-2023-555086","RE-APJ-EPA-002-2023-555086","ASESORÍA Y PATROCINIO JURÍDICO PARA LA DEFENSA DE LA EMPRESA PÚBLICA DEL AGUA EPA EP, RESPECTO DE LA RECLAMACIÓN POR EL COBRO EXCESIVO DE VALORES CORRESPONDIENTES A LA TASA DE RECOLECCIÓN DE BASURA DETERMINADA POR LA M.I. MUNICIPALIDAD DE GUAYAQUIL","complete","EC-RUC-1768178600001-555086","Empresa Publica del Agua EPA EP","817732.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-03-28T11:00:00-05:00","2023-04-05T10:00:00-05:00","2023-04-05T10:00:00-05:00","7","2023-03-28T11:00:00-05:00","","","","","Otros Parámetros de Calificación","","2023-04-20T15:00:00-05:00","2023-04-20T15:00:00-05:00","","1"
"ocds-5wno2w-RE-APJ-EPMMQ-01-2023-410205","RE-APJ-EPMMQ-01-2023-410205-2023-08-23T02:29:15.315Z","RE-APJ-EPMMQ-01-2023-410205","RE-APJ-EPMMQ-01-2023-410205","ASESORÍA JURÍDICA RESPECTO DE LAS CONTROVERSIAS DERIVADAS DEL CONVENIO PARA LA EJECUCIÓN DE LA PLMQ, FASE 2 TIPO FIDIC QUE FUERON RESUELTAS POR LA COMISIÓN PARA RESOLUCIÓN DE CONTROVERSIAS DISPUTE BOARD ANÁLISIS DE PERTINENCIA LEGAL Y ECONÓMICA","complete","EC-RUC-1768164650001-410205","EMPRESA PÚBLICA METROPOLITANA METRO DE QUITO","32500.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-04-04T20:00:00-05:00","2023-04-11T10:00:00-05:00","2023-04-11T10:00:00-05:00","6","2023-04-04T20:00:00-05:00","","","","TRUE","Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica","","2023-04-20T16:00:00-05:00","2023-04-20T16:00:00-05:00","","1"
"ocds-5wno2w-GADPRA-001-AJ-2023-94956","GADPRA-001-AJ-2023-94956-2023-08-23T04:28:51.054Z","GADPRA-001-AJ-2023-94956","GADPRA-001-AJ-2023-94956","ASESORÍA JURÍDICA PARA EL GAD DE AMAGUAÑA 2023","complete","EC-RUC-1768119350001-94956","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE AMAGUAÑA","7222.20","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-07-27T17:00:00-05:00","2023-07-28T12:00:00-05:00","2023-07-28T12:00:00-05:00","","2023-07-27T17:00:00-05:00","","","","","Cumplimiento Especificaciones","","2023-07-28T13:00:00-05:00","2023-07-28T13:00:00-05:00","","1"
"ocds-5wno2w-RE-APJC-GADMA-01-23-2422","RE-APJC-GADMA-01-23-2422-2023-08-23T03:20:04.218Z","RE-APJC-GADMA-01-23-2422","RE-APJC-GADMA-01-23-2422","ASESORÍA O PATROCINIO JURÍDICO ESPECIALIZADO EXTERNO TANTO PARA CONSULTORÍA COMO PARA LITIGIOS EN DIVERSOS PROCESOS EN LOS QUE EL GAD MUNICIPAL DE AZOGUES O SUS DEPENDENCIAS REQUIERAN LOS MISMOS.","complete","EC-RUC-0360000230001-2422","GAD MUNICIPAL DE AZOGUES","6600.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-06-19T08:00:00-05:00","2023-06-23T17:00:00-05:00","2023-06-23T17:00:00-05:00","4","2023-06-19T08:00:00-05:00","","","","","Oferta Económica,Otros Parámetros de Calificación,Cumplimiento Especificaciones,Experiencia General,Experiencia Específica 1","","2023-06-29T08:00:00-05:00","2023-06-29T08:00:00-05:00","","1"
