ACTUAL;F;G;NUEVO;PAIS
1442153500.png;DT Gustavo Alfaro;.png;DT Gustavo Alfaro.png;Ecuador
1442153514.png;Hernán Galíndez;.png;Hernán Galíndez.png;Ecuador
1442153543.png;Moisés Ramírez;.png;Moisés Ramírez.png;Ecuador
1442153558.png;Alexander Domínguez;.png;Alexander Domínguez.png;Ecuador
1442153578.png;Carlos Gruezo;.png;Carlos Gruezo.png;Ecuador
1442153740.png;Jeremy Sarmiento;.png;Jeremy Sarmiento.png;Ecuador
1442153769.png;Piero Hincapié;.png;Piero Hincapié.png;Ecuador
1442153920.png;Ángel Mena;.png;Ángel Mena.png;Ecuador
1442153965.png;Gonzalo Plata;.png;Gonzalo Plata.png;Ecuador
1442153978.png;Ayrton Preciado;.png;Ayrton Preciado.png;Ecuador
1442153993.png;Enner Valencia;.png;Enner Valencia.png;Ecuador
1442154004.png;Michael Estrada;.png;Michael Estrada.png;Ecuador
1442157021.png;Robert Arboleda;.png;Robert Arboleda.png;Ecuador
1442157042.png;Diego Palacios;.png;Diego Palacios.png;Ecuador
1442157061.png;Félix Torres;.png;Félix Torres.png;Ecuador
1442157377.png;Xavier Arreaga;.png;Xavier Arreaga.png;Ecuador
1442157398.png;José Cifuentes;.png;José Cifuentes.png;Ecuador
1442157465.png;Jackson Porozo;.png;Jackson Porozo.png;Ecuador
1442157538.png;Kevin Rodríguez;.png;Kevin Rodríguez.png;Ecuador
1442157555.png;Romario Ibarra;.png;Romario Ibarra.png;Ecuador
1442158380.png;Pervis Estupiñán;.png;Pervis Estupiñán.png;Ecuador
1442158410.png;Alan Franco;.png;Alan Franco.png;Ecuador
1442158458.png;Djorkaeff Reasco;.png;Djorkaeff Reasco.png;Ecuador
1442158606.png;Angelo Preciado;.png;Angelo Preciado.png;Ecuador
1442158632.png;Moisés Caicedo;.png;Moisés Caicedo.png;Ecuador
1442158666.png;William Pacho;.png;William Pacho.png;Ecuador
Jhegson-Mendez.png;Jhegson Méndez;.png;Jhegson Méndez.png;Ecuador
1442739826.png;DT Lionel Scaloni;.png;DT Lionel Scaloni.png;Argentina
1442740056.png;Franco Armani;.png;Franco Armani.png;Argentina
1442740128.png;Emiliano Martínez;.png;Emiliano Martínez.png;Argentina
1442740186.png;Nicolás Tagliafico;.png;Nicolás Tagliafico.png;Argentina
1442740796.png;Paulo Dybala;.png;Paulo Dybala.png;Argentina
1442741064.png;Alejandro Gómez;.png;Alejandro Gómez.png;Argentina
1442741360.png;Nicolás Otamendi;.png;Nicolás Otamendi.png;Argentina
1442742174.png;Rodrigo De Paul;.png;Rodrigo De Paul.png;Argentina
1442742197.png;Germán Pezzella;.png;Germán Pezzella.png;Argentina
1442742223.png;Leandro Paredes;.png;Leandro Paredes.png;Argentina
1442742357.png;Ángel Di María;.png;Ángel Di María.png;Argentina
1442742404.png;Lautaro Martínez;.png;Lautaro Martínez.png;Argentina
1442742544.png;Alexis MacAllister;.png;Alexis MacAllister.png;Argentina
1442742592.png;Cristian Romero;.png;Cristian Romero.png;Argentina
1442742632.png;Nahuel Molina Lucero;.png;Nahuel Molina Lucero.png;Argentina
1442742652.png;Juan Foyth;.png;Juan Foyth.png;Argentina
1442742805.png;Exequiel Palacios;.png;Exequiel Palacios.png;Argentina
1442742819.png;Gonzalo Montiel;.png;Gonzalo Montiel.png;Argentina
1442742836.png;Marcos Acuña;.png;Marcos Acuña.png;Argentina
1442743421.png;Guido Rodriguez;.png;Guido Rodriguez.png;Argentina
1442743507.png;Enzo Fernández;.png;Enzo Fernández.png;Argentina
1442743531.png;Julián Álvarez;.png;Julián Álvarez.png;Argentina
1442770365.png;Thiago Almada;.png;Thiago Almada.png;Argentina
1442770400.png;Ángel Correa;.png;Ángel Correa.png;Argentina
1442770580.png;Lionel Messi;.png;Lionel Messi.png;Argentina
1442774135.png;Gerónimo Rulli;.png;Gerónimo Rulli.png;Argentina
1442801367.png;Lisandro Martínez;.png;Lisandro Martínez.png;Argentina
