ACTUAL ;Jugador;Posición;G;NUEVO;PAIS;MI ACTUAL 
1442303589.png;Manuel Neuer;Portero;.png;Manuel Neuer.png;Germany;1.442.303.589
1442303551.png;Marc-Andre Ter Stegen;Portero;.png;Marc-Andre Ter Stegen.png;Germany;1.442.303.551
1442303503.png;Kevin Trapp;Portero;.png;Kevin Trapp.png;Germany;1.442.303.503
1442304727.png;Armel Bella-Kotchap;Defensor;.png;Armel Bella-Kotchap.png;Germany;1.442.304.727
1442304815.png;Matthias Ginter;Defensor;.png;Matthias Ginter.png;Germany;1.442.304.815
1442303992.png;Cristian Gunter;Defensor;.png;Cristian Gunter.png;Germany;1.442.303.992
1442304875.png;Thilo Kehrer;Defensor;.png;Thilo Kehrer.png;Germany;1.442.304.875
1442304114.png;Lukas Klostermann;Defensor;.png;Lukas Klostermann.png;Germany;1.442.304.114
1442303834.png;David Raum;Defensor;.png;David Raum.png;Germany;1.442.303.834
1442304912.png;Antonio Rudiger;Defensor;.png;Antonio Rudiger.png;Germany;1.442.304.912
1442304776.png;Nico Schlotterback;Defensor;.png;Nico Schlotterback.png;Germany;1.442.304.776
1442304073.png;Niklas Sule;Defensor;.png;Niklas Sule.png;Germany;1.442.304.073
1442303760.png;Mario Gotze;Mediocampo;.png;Mario Gotze.png;Germany;1.442.303.760
1442303863.png;Julian Brandt;Mediocampo;.png;Julian Brandt.png;Germany;1.442.303.863
1442304032.png;Jamal Musiala;Mediocampo;.png;Jamal Musiala.png;Germany;1.442.304.032
1442304709.png;Leon Goretzka;Mediocampo;.png;Leon Goretzka.png;Germany;1.442.304.709
1442303696.png;Ilkay Gundogan;Mediocampo;.png;Ilkay Gundogan.png;Germany;1.442.303.696
1442304640.png;Kai Havertz;Mediocampo;.png;Kai Havertz.png;Germany;1.442.304.640
1442303962.png;Jonas Hofmann;Mediocampo;.png;Jonas Hofmann.png;Germany;1.442.303.962
1442303808.png;Joshua Kimmich;Mediocampo;.png;Joshua Kimmich.png;Germany;1.442.303.808
1442303673.png;Youssoufa Moukoko;Delantero;.png;Youssoufa Moukoko.png;Germany;1.442.303.673
1442303887.png;Thomas Muller;Delantero;.png;Thomas Muller.png;Germany;1.442.303.887
1442303788.png;Leroy Sané;Delantero;.png;Leroy Sané.png;Germany;1.442.303.788
1442304691.png;Niclas Fullkrug;Delantero;.png;Niclas Fullkrug.png;Germany;1.442.304.691
1442303743.png;Serge Gnabry;Delantero;.png;Serge Gnabry.png;Germany;1.442.303.743
1442303644.png;Karim Adeyemi;Delantero;.png;Karim Adeyemi.png;Germany;1.442.303.644
1442303481.png;DT Hans-Dieter Flick;DT;.png;DT Hans-Dieter Flick.png;Germany;1.442.303.481
1442775085.png;Keylor Navas;Portero;.png;Keylor Navas.png;Costa Rica;1.442.775.085
1442775253.png;Esteban Alvarado;Portero;.png;Esteban Alvarado.png;Costa Rica;1.442.775.253
1442775316.png;Patrick Sequeira;Portero;.png;Patrick Sequeira.png;Costa Rica;1.442.775.316
1442777065.png;Francisco Calvo;Defensor;.png;Francisco Calvo.png;Costa Rica;1.442.777.065
1442776669.png;Juan Pablo Vargas;Defensor;.png;Juan Pablo Vargas.png;Costa Rica;1.442.776.669
1442776008.png;Kendall Waston;Defensor;.png;Kendall Waston.png;Costa Rica;1.442.776.008
1442776737.png;Óscar Duarte;Defensor;.png;Óscar Duarte.png;Costa Rica;1.442.776.737
1442777372.png;Daniel Chacón;Defensor;.png;Daniel Chacón.png;Costa Rica;1.442.777.372
1442777515.png;Keysher Fuller;Defensor;.png;Keysher Fuller.png;Costa Rica;1.442.777.515
1442776713.png;Carlos Martínez;Defensor;.png;Carlos Martínez.png;Costa Rica;1.442.776.713
Bryan-Oviedo.png;Bryan Oviedo;Defensor;.png;Bryan Oviedo.png;Costa Rica;Bryan-Oviedo
1442777022.png;Ronald Matarrita;Defensor;.png;Ronald Matarrita.png;Costa Rica;1.442.777.022
1442776873.png;Yeltsin Tejeda;Mediocampo;.png;Yeltsin Tejeda.png;Costa Rica;1.442.776.873
1442777106.png;Celso Borges;Mediocampo;.png;Celso Borges.png;Costa Rica;1.442.777.106
1442777250.png;Youstin Salas;Mediocampo;.png;Youstin Salas.png;Costa Rica;1.442.777.250
1442776021.png;Roan Wilson;Mediocampo;.png;Roan Wilson.png;Costa Rica;1.442.776.021
1442776697.png;Gerson Torres;Mediocampo;.png;Gerson Torres.png;Costa Rica;1.442.776.697
1442776839.png;Douglas López;Mediocampo;.png;Douglas López.png;Costa Rica;1.442.776.839
1442776774.png;Jewison Bennette;Mediocampo;.png;Jewison Bennette.png;Costa Rica;1.442.776.774
1442776092.png;Álvaro Zamora;Mediocampo;.png;Álvaro Zamora.png;Costa Rica;1.442.776.092
1442776056.png;Anthony Hernández;Mediocampo;.png;Anthony Hernández.png;Costa Rica;1.442.776.056
1442777487.png;Brandon Aguilera;Mediocampo;.png;Brandon Aguilera.png;Costa Rica;1.442.777.487
1442777538.png;Bryan Ruiz;Mediocampo;.png;Bryan Ruiz.png;Costa Rica;1.442.777.538
1442777459.png;Joel Campbell;Delantero;.png;Joel Campbell.png;Costa Rica;1.442.777.459
1442776757.png;Anthony Contreras;Delantero;.png;Anthony Contreras.png;Costa Rica;1.442.776.757
1442777356.png;Johan Venegas;Delantero;.png;Johan Venegas.png;Costa Rica;1.442.777.356
1442774930.png;DT Fernando Suárez Guzman;DT;.png;DT Fernando Suárez Guzman.png;Costa Rica;1.442.774.930
1442834913.png;Andrej Kramarić;Delantero;.png;Andrej Kramarić.png;Croatia;1.442.834.913
1442834215.png;Ante Budimir;Delantero;.png;Ante Budimir.png;Croatia;1.442.834.215
1442834133.png;Borna Barišić;Defensor;.png;Borna Barišić.png;Croatia;1.442.834.133
1442834343.png;Borna Sosa;Defensor;.png;Borna Sosa.png;Croatia;1.442.834.343
1442835013.png;Bruno Petković;Delantero;.png;Bruno Petković.png;Croatia;1.442.835.013
1442834061.png;Dejan Lovren;Defensor;.png;Dejan Lovren.png;Croatia;1.442.834.061
