,ACTUAL,Jugador,Posición,G,NUEVO,PAIS,MI ACTUAL 
0,Australia-Portraits-FIFA-World-Cup-Qatar-2022.png,Mathew Ryan,Portero,.png,Mathew Ryan.png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022
1,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (1).png,Andrew Redmayne,Portero,.png,Andrew Redmayne.png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (1)
2,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (2).png,Danny Vukovic,Portero,.png,Danny Vukovic.png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (2)
3,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (8).png,Aziz Behich,Defensa,.png,Aziz Behich.png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (8)
4,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (3).png,Milos Degenek,Defensa,.png,Milos Degenek.png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (3)
5,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (10).png,Thomas Deng,Defensa,.png,Thomas Deng.png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (10)
6,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (11).png,Joel King,Defensa,.png,Joel King.png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (11)
7,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (4).png,Nathaniel Atkinson,Defensa,.png,Nathaniel Atkinson.png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (4)
8,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (6).png,Fran Karacic,Defensa,.png,Fran Karacic.png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (6)
9,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (9).png,Harry Souttar,Defensa,.png,Harry Souttar.png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (9)
10,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (5).png,Kye Rowles,Defensa,.png,Kye Rowles.png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (5)
11,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (17).png,Craig Goodwin,Defensa,.png,Craig Goodwin.png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (17)
12,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (20).png,Aaron Mooy,Mediocampo,.png,Aaron Mooy.png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (20)
13,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (23).png,Jackson Irvine,Mediocampo,.png,Jackson Irvine.png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (23)
14,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (19).png,Ajdin Hrustic,Mediocampo,.png,Ajdin Hrustic.png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (19)
15,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (7).png,Bailey Wright,Mediocampo,.png,Bailey Wright.png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (7)
16,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (22).png,Cameron Devlin,Mediocampo,.png,Cameron Devlin.png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (22)
17,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (21).png,Riley McGree,Mediocampo,.png,Riley McGree.png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (21)
18,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (24).png,Keanu Baccus,Mediocampo,.png,Keanu Baccus.png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (24)
19,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (14).png,Awer Mabil ,Delantero,.png,Awer Mabil .png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (14)
20,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (12).png,Mathew Leckie,Delantero,.png,Mathew Leckie.png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (12)
21,432015.png,Marco Tilio,Delantero,.png,Marco Tilio.png,Australia,432015
22,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (13).png,James Maclaren,Delantero,.png,James Maclaren.png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (13)
23,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (18).png,Jason Cummings,Delantero,.png,Jason Cummings.png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (18)
24,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (15).png,Mitchell Duke,Delantero,.png,Mitchell Duke.png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (15)
25,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (16).png,Garang Kuol,Delantero,.png,Garang Kuol.png,Australia,Australia-Portraits-FIFA-World-Cup-Qatar-2022 (16)
26,1441665544.png,DT James Arnold,DT,.png,DT James Arnold.png,Australia,1441665544
27,1443091999.png,André Onana,Portero,.png,André Onana.png,Cameroon,1443091999
28,1443091942.png,Simon Ngapandouetnbu,Portero,.png,Simon Ngapandouetnbu.png,Cameroon,1443091942
29,1443091973.png,Devis Epassy,Portero,.png,Devis Epassy.png,Cameroon,1443091973
30,1443093839.png,Jean-Charles Castelletto,Defensa,.png,Jean-Charles Castelletto.png,Cameroon,1443093839
31,1443092573.png,Enzo Ebosse,Defensa,.png,Enzo Ebosse.png,Cameroon,1443092573
32,1443092600.png,Collins Fai,Defensa,.png,Collins Fai.png,Cameroon,1443092600
33,1443092701.png,Nouhou Tolo,Defensa,.png,Nouhou Tolo.png,Cameroon,1443092701
34,1443092956.png,Olivier Mbaizo,Defensa,.png,Olivier Mbaizo.png,Cameroon,1443092956
35,1443092996.png,Nicolas Nkoulou,Defensa,.png,Nicolas Nkoulou.png,Cameroon,1443092996
36,1443092734.png,Christopher Wooh,Defensa,.png,Christopher Wooh.png,Cameroon,1443092734
37,1443092016.png,Olivier Ntcham,Mediocampo,.png,Olivier Ntcham.png,Cameroon,1443092016
38,1443093727.png,Gael Ondoa,Mediocampo,.png,Gael Ondoa.png,Cameroon,1443093727
39,1443092904.png,Martin Hongla,Mediocampo,.png,Martin Hongla.png,Cameroon,1443092904
40,1443092769.png,Pierre Kunde,Mediocampo,.png,Pierre Kunde.png,Cameroon,1443092769
41,1443092860.png,Samuel Oum Gouet,Mediocampo,.png,Samuel Oum Gouet.png,Cameroon,1443092860
42,1443093055.png,André-Frank Zambo Anguissa,Mediocampo,.png,André-Frank Zambo Anguissa.png,Cameroon,1443093055
43,1443093122.png,Moumi Ngamaleu,Mediocampo,.png,Moumi Ngamaleu.png,Cameroon,1443093122
44,1443093900.png,Jérôme Ngom Mbekeli,Mediocampo,.png,Jérôme Ngom Mbekeli.png,Cameroon,1443093900
45,1443093764.png,Souaibou Marou,Delantero,.png,Souaibou Marou.png,Cameroon,1443093764
46,1443092549.png,Christian Bassogog,Delantero,.png,Christian Bassogog.png,Cameroon,1443092549
47,1443092641.png,Bryan Mbeumo,Delantero,.png,Bryan Mbeumo.png,Cameroon,1443092641
