player,position,team,age,age2,club,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Aaron Mooy,MF,Australia,32-094,32,Celtic,1990,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0
Aaron Ramsey,MF,Wales,31-357,31,Nice,1990,3,3,266,3,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0
Abdelhamid Sabiri,MF,Morocco,26-020,26,Sampdoria,1996,5,2,181,2,0,1,0,0,0,1,0,0,5,5,0,5,1.0,1.0,9.0,1.0,8.0,53.0,6.0,8.0,6.0
Abdelkarim Hassan,DF,Qatar,29-112,29,Al Sadd SC,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,0.0,3.0,1.0,1.0,11.0,1.0,11.0
Abderrazak Hamdallah,FW,Morocco,32-001,32,Al-Ittihad,1990,4,0,68,8,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,0.0,4.0,52.0,0.0,52.0,52.0,52.0
Abdessamad Ezzalzouli,FW,Morocco,21-001,21,Osasuna,2001,3,0,93,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,3.0,3.0,9.0,39.0,49.0,9.0,49.0
Abdou Diallo,DF,Senegal,26-228,26,RB Leipzig,1996,4,4,331,37,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0
Abdul Fatawu Issahaku,FW,Ghana,18-285,18,Sporting CP,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdulaziz Hatem,MF,Qatar,32-051,32,Al Rayyan SC,1990,3,2,196,22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0
Abdulelah Al-Amri,DF,Saudi Arabia,25-337,25,Al-Nassr,1997,3,2,182,2,0,0,0,0,0,2,0,0,0,0,0,0,1.0,1.0,0.0,1.0,3.0,0.0,3.0,3.0,3.0
